row_id,jira_key,component,status,pqc_kex_test,mldsa_cert_test,code_change_required,feature_epic,satperf_probe,notes
M-38971,SAT-38971,Activation Keys,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39003,SAT-39003,Parameters,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39004,SAT-39004,Remote Execution,Closed,pending,pending,TBD,SAT-43331,,Verification row; see sat-38970-restructure-proposal.md
M-39005,SAT-39005,SCAP Plugin,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39006,SAT-39006,Settings,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39007,SAT-39007,Templates Plugin,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39008,SAT-39008,katello-tracer,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39009,SAT-39009,Ansible - Configuration Management,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39010,SAT-39010,Audit Log,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39011,SAT-39011,Branding,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39012,SAT-39012,Foreman Proxy,New,pending,pending,TBD,SAT-38907,,Verification row; see sat-38970-restructure-proposal.md
M-39013,SAT-39013,Hooks and Webhooks,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39014,SAT-39014,Localization and Internationalization,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39015,SAT-39015,Navigation,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39016,SAT-39016,Organizations and Locations,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39017,SAT-39017,Puppet,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39018,SAT-39018,Reporting,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39019,SAT-39019,Search,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39020,SAT-39020,Tasks Plugin,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39021,SAT-39021,Users and Roles,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39022,SAT-39022,Ansible Collection,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39023,SAT-39023,Bootdisk Plugin,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39024,SAT-39024,Compute Resources - Azure,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39025,SAT-39025,Compute Resources - EC2,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39026,SAT-39026,Compute Resources - OpenStack,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39027,SAT-39027,Compute Resources - VMWare,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39028,SAT-39028,Conversions appliance,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39029,SAT-39029,Discovery Plugin,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39030,SAT-39030,Infoblox integration,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39031,SAT-39031,Networking,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39032,SAT-39032,Provisioning,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39033,SAT-39033,Satellite Clone,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39034,SAT-39034,Upgrades,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39035,SAT-39035,Backup and Restore,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39036,SAT-39036,Compute Resources,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39037,SAT-39037,Compute Resources - CNV,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39038,SAT-39038,Compute Resources - GCE,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39039,SAT-39039,Compute Resources - RHEV,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39040,SAT-39040,Compute Resources - libvirt,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39041,SAT-39041,Discovery Image,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39042,SAT-39042,Hammer,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39043,SAT-39043,Installation,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39044,SAT-39044,Power and BMC,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39045,SAT-39045,Provisioning Templates,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
M-39046,SAT-39046,Satellite Maintain,New,pending,pending,TBD,SAT-36257,,Verification row; see sat-38970-restructure-proposal.md
